date_game,date,time,home,away,score1,score2,set1p1,set1p2,set2p1,set2p2,set3p1,set3p2,set4p1,set4p2,set5p1,set5p2,win,pr_home,pr_away,elo_home,elo_away
2021-11-09,2021-11-09 22:44:00,22:44,Бардышев Г,Мишакин В,3,1,11,5,10,12,11,4,11,8,0,0,1,0.5132361073457743,0.4867638926542257,1000.2365354089733,982.0805410257149
2021-11-09,2021-11-09 22:47:00,22:47,Маршалов В,Крючков Е,2,3,4,11,15,13,11,9,6,11,10,12,0,0.5132367706605789,0.48676322933942107,990.8000000000001,991.0435565801546
2021-11-09,2021-11-09 22:52:00,22:52,Пиньковский П,Каплан С,1,3,9,11,9,11,11,7,3,11,0,0,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 23:05:00,23:05,Духин М,Марченко М,2,3,4,11,16,14,7,11,12,10,5,11,0,0.5379324736414839,0.4620675263585161,1026.175167642342,1009.6641993428152
2021-11-09,2021-11-09 23:20:00,23:20,Петроченко Д,Никулин С,1,3,4,11,11,8,6,11,9,11,0,0,0,0.5132367706605789,0.48676322933942107,1008.9564434198454,1009.1999999999999
2021-11-09,2021-11-09 23:21:00,23:21,Пиньковский П,Пронкин М,0,3,9,11,9,11,11,13,0,0,0,0,0,0.5128867490915349,0.48711325090846513,990.6814419083579,991.161944095108
2021-11-09,2021-11-09 23:42:00,23:42,Ширшов А,Каплан С,1,3,8,11,11,3,8,11,7,11,0,0,0,0.5128867490915349,0.48711325090846513,1008.838055904892,1009.3185580916421
2021-11-09,2021-11-09 23:42:00,23:42,Павленко Р,Огай С,3,1,10,12,12,10,11,9,13,11,0,0,1,0.4992342398728421,0.5007657601271579,1012.9793434240356,1004.2973584900211
2021-11-09,2021-11-09 23:48:00,23:48,Лбов Ю,Ильин А,0,3,8,11,8,11,8,11,0,0,0,0,0,0.45498699433573425,0.5450130056642657,982.6668023369666,1022.4017163628123
2021-11-10,2021-11-10 00:00:00,00:00,Журба Н,Огай С,3,1,11,9,11,9,9,11,13,11,0,0,1,0.5134857692027303,0.48651423079726974,1018.1464349677431,999.8214275666862
2021-11-10,2021-11-10 00:14:00,00:14,Гиревенков А,Кобытов Р,3,0,13,11,11,7,11,7,0,0,0,0,1,0.5,0.5,1004.6,995.4
2021-11-10,2021-11-10 00:18:00,00:18,Ширшов В,Власов А,0,3,10,12,4,11,8,11,0,0,0,0,0,0.5064488568612153,0.4935511431387847,999.8220437406244,1004.6593294831232
2021-11-10,2021-11-10 00:30:00,00:30,Турабеков Т,Уваров А,3,1,12,10,13,11,8,11,11,8,0,0,1,0.5,0.5,1004.6,995.4
2021-11-10,2021-11-10 00:33:00,00:33,Цицельский А,Садовский Н,2,3,11,4,11,8,8,11,9,11,9,11,0,0.5195915362275014,0.4804084637724986,1008.8403250559181,1004.780242133293
2021-11-10,2021-11-10 00:46:00,00:46,Ильин А,Лбов Ю,3,1,7,11,11,5,11,5,11,6,0,0,1,0.5569351237206013,0.4430648762793987,1026.4779132245828,978.5906054751962
2021-11-10,2021-11-10 00:59:00,00:59,Кобытов Р,Серебренников А,1,3,11,9,9,11,8,11,10,12,0,0,0,0.506269082016586,0.49373091798341395,990.7423244454474,995.7012428975969
2021-11-10,2021-11-10 01:00:00,01:00,Евлахин Д,Журба Н,2,3,6,11,12,10,10,12,11,9,7,11,0,0.4739089014729405,0.5260910985270595,995.640038106449,1022.5063968612941
2021-11-10,2021-11-10 01:15:00,01:15,Воронов Д,Ширшов В,1,3,13,11,5,11,8,11,7,11,0,0,0,0.5002560996213813,0.4997439003786187,995.3976438834833,1004.4243998571411
2021-11-10,2021-11-10 01:25:00,01:25,Гиревенков А,Цицельский А,3,0,11,9,11,4,11,5,0,0,0,0,1,0.49389798467896356,0.5061020153210365,1009.2561385409535,1004.1841865149646
2021-11-10,2021-11-10 01:30:00,01:30,Уваров А,Огай С,3,0,11,9,11,4,12,10,0,0,0,0,1,0.49363739771419446,0.5063626022858055,1000.0585359410294,995.1628916256568
2021-11-10,2021-11-10 01:46:00,01:46,Лбов Ю,Власов А,2,3,9,11,9,11,13,11,11,8,5,11,0,0.46255433429191384,0.5374456657080862,974.3351055997106,1008.9148293586088
2021-11-10,2021-11-10 01:48:00,01:48,Серебренников А,Садовский Н,3,1,7,11,14,12,11,9,11,6,0,0,1,0.48693724299275043,0.5130627570072496,1000.4214202620636,1000.0600647688262
